Crash ID,Degree of crash - detailed,Reporting year,Year of crash,Month of crash,Day of week of crash,Two-hour intervals,Street of crash,Street type,Town,Route no.,School zone location,School zone active,Type of location,Latitude,Longitude,LGA,Urbanisation,Conurbation 1,Alignment,Street lighting,Road surface,Surface condition,Weather,Natural lighting,Signals operation,Other traffic control,Speed limit,Road classification,RUM - code,DCA - code,First impact type,Key TU type,Other TU type,No. of traffic units involved,No. killed,No. seriously injured,No. moderately injured,No. minor-other injured
1246611,3,2020,2020,9,6,6,15,27,43,228,0,1,1,-33.57371,150.886653,29,2,2,1,3,0,0,0,2,0,7,80,2,404,404,8,8,40,1,0,0,0,0
1246612,3,2020,2020,9,3,6,2126,17,140,2149,0,1,10,-33.786543,150.844569,7,0,2,1,3,0,0,0,2,2,7,80,2,2852,2852,4,5,13,2,0,0,0,0
1246613,3,2020,2020,9,3,1,3,31,234,34609,1,0,1,-34.279384,146.045153,28,2,1,0,3,0,0,0,0,0,7,50,0,4552,5151,1,5,13,2,0,0,0,0
1246614,3,2020,2020,9,2,5,1052,14,33,928,0,1,3,-33.641471,151.143746,31,0,2,0,3,0,0,0,2,0,7,110,2,14295,14295,3,0,25,2,0,0,0,0
1246618,3,2020,2020,9,3,8,308,14,49,311,0,1,3,-33.912793,150.849141,41,0,2,1,3,0,0,0,2,0,7,100,2,9859,9859,8,0,40,1,0,0,0,0
1246620,3,2020,2020,9,6,4,18,10,60,34609,0,1,2,-34.019499,150.755528,12,0,2,1,3,0,0,0,2,0,7,50,0,14295,14295,3,5,5,3,0,0,0,0
1246629,3,2020,2020,9,3,5,19,27,22,122,0,1,10,-34.529931,150.8691,80,0,2,1,3,0,0,0,2,2,7,60,2,14295,14295,3,5,5,2,0,0,0,0
1246635,3,2020,2020,10,5,11,3,27,12,34609,0,1,1,-32.9457,150.650043,64,1,0,1,3,0,0,0,0,0,7,100,0,945,945,5,10,40,1,0,0,0,0
1246636,3,2020,2020,9,1,8,44,31,77,34609,0,1,1,-33.868791,150.945997,24,0,2,1,3,0,0,0,2,0,7,50,0,5929,5929,1,0,5,2,0,0,0,0
1246638,3,2020,2020,9,2,7,3,27,87,34609,1,0,9,-33.687335,150.933939,71,0,2,0,3,0,0,0,2,2,7,60,0,4552,985,8,5,40,1,0,0,0,0
1246639,3,2020,2020,9,5,8,1104,14,142,962,0,1,3,-33.82806,150.997239,21,0,2,1,3,0,0,0,2,0,7,90,2,14295,14295,3,0,5,4,0,0,0,0
1246640,3,2020,2020,9,0,7,16,31,165,34609,0,1,1,-32.269379,150.888753,46,2,1,1,3,0,0,0,2,0,7,50,0,1981,1981,4,5,5,2,0,0,0,0
1246641,3,2020,2020,9,0,9,7,27,46,34609,0,1,9,-35.16345,147.383081,75,2,1,1,3,0,0,0,3,0,0,50,0,2852,2852,4,10,13,2,0,0,0,0
1246642,3,2020,2020,10,0,10,120,36,35,148,0,1,1,-30.420871,152.842379,6,2,1,0,3,0,3,3,0,0,7,80,2,1957,4009,8,10,40,1,0,0,0,0
1246644,3,2020,2020,10,4,4,34,10,19,40,0,1,1,-35.840963,150.168542,23,1,0,1,3,0,0,0,2,0,7,100,1,9859,9859,8,0,40,1,0,0,0,0
1246646,3,2020,2020,9,4,5,3371,17,8,3342,0,1,2,-30.771462,152.899824,47,1,0,1,3,0,0,0,2,0,7,110,2,1945,1945,5,9,40,1,0,0,0,0
1246649,3,2020,2020,9,2,5,293,31,179,34609,0,1,1,-31.911448,152.463651,43,2,1,1,3,0,0,0,2,0,7,50,0,1391,1391,1,10,0,2,0,0,0,0
1246650,3,2020,2020,10,5,9,12,1,108,34609,0,1,1,-33.766858,151.276874,50,0,2,1,3,0,0,0,3,0,7,50,0,9859,9859,1,5,13,2,0,0,0,0
1246659,3,2020,2020,9,0,8,178,27,189,101,0,1,9,-33.943129,151.053864,15,0,2,1,3,0,0,0,2,2,7,50,1,14295,14295,3,9,13,3,0,0,0,0
1246661,3,2020,2020,9,1,4,14,27,24,34609,1,2,1,-33.956011,150.993016,15,0,2,1,3,0,3,3,2,0,9,40,0,1282,1282,1,0,5,2,0,0,0,0
1246664,3,2020,2020,9,4,9,829,27,159,770,0,1,10,-33.807101,151.070503,54,0,2,1,3,0,0,0,0,2,9,70,2,5929,5929,1,5,5,2,0,0,0,0
1246665,3,2020,2020,10,4,4,43,2,92,42,0,1,7,-33.73878,150.950196,71,0,2,0,3,0,3,4,2,2,0,70,2,4552,5151,8,10,40,1,0,0,0,0
1246667,3,2020,2020,9,5,5,3,31,316,34609,0,1,1,-31.445587,152.915889,56,2,1,1,3,0,0,0,2,0,7,50,0,1089,1089,7,5,40,1,0,0,0,0
1246671,3,2020,2020,10,2,11,18,27,22,34609,1,0,7,-36.055814,146.916335,0,2,1,1,3,0,0,0,0,0,0,60,0,6545,6545,4,5,0,2,0,0,0,0
1246686,3,2020,2020,9,3,8,74,23,100,260,0,1,9,-33.964852,151.154672,4,0,2,1,3,0,0,0,2,0,7,60,2,14295,14295,3,0,0,2,0,0,0,0
1246688,3,2020,2020,9,3,6,8,10,164,34609,0,1,1,-33.718014,150.890808,7,0,2,1,3,0,0,0,2,0,7,50,0,1109,397,1,10,0,2,0,0,0,0
